============================================================
EVALUACIÓN DEL MÓDULO ASR (MODELO 3)
============================================================

Modelo: Modelo 3: ASR (Phrase Verification)
Frase esperada: banking security is very important

PUNTO EER (Equal Error Rate):
  Threshold: 0.25
  FAR: 40.00%
  FRR: 63.27%
  EER: 51.63%

============================================================
RESULTADOS DETALLADOS POR THRESHOLD
============================================================

Threshold    FAR (%)    FRR (%)    Diff      
------------------------------------------------------------
0.00         100.00     0.00       100.00    
0.05         100.00     2.04       97.96     
0.10         95.00      4.08       90.92     
0.15         90.00      8.16       81.84     
0.20         70.00      28.57      41.43     
0.25         40.00      63.27      23.27     
0.30         15.00      85.71      70.71     
0.35         0.00       100.00     100.00    
0.40         0.00       100.00     100.00    
0.45         0.00       100.00     100.00    
0.50         0.00       100.00     100.00    
0.55         0.00       100.00     100.00    
0.60         0.00       100.00     100.00    
0.65         0.00       100.00     100.00    
0.70         0.00       100.00     100.00    
0.75         0.00       100.00     100.00    
0.80         0.00       100.00     100.00    
0.85         0.00       100.00     100.00    
0.90         0.00       100.00     100.00    
0.95         0.00       100.00     100.00    
1.00         0.00       100.00     100.00    
