EER Analysis Results
============================================================

EER Threshold: 0.55
FAR at EER: 7.21%
FRR at EER: 5.41%
EER Value: 6.31%

All Threshold Results:
------------------------------------------------------------
Threshold    FAR (%)      FRR (%)      Diff        
------------------------------------------------------------
0.00         99.10        2.70         96.40       
0.05         92.79        2.70         90.09       
0.10         77.48        2.70         74.77       
0.15         62.16        2.70         59.46       
0.20         52.25        2.70         49.55       
0.25         44.14        2.70         41.44       
0.30         34.23        2.70         31.53       
0.35         31.53        2.70         28.83       
0.40         27.03        2.70         24.32       
0.45         17.12        2.70         14.41       
0.50         13.51        2.70         10.81       
0.55         7.21         5.41         1.80        
0.60         1.80         13.51        11.71       
0.65         0.90         16.22        15.32       
0.70         0.00         24.32        24.32       
0.75         0.00         27.03        27.03       
0.80         0.00         40.54        40.54       
0.85         0.00         43.24        43.24       
0.90         0.00         75.68        75.68       
0.95         0.00         100.00       100.00      
1.00         0.00         100.00       100.00      
