# el-niño-del-pijama-de-rayas
# Total frases: 375 (filtradas y balanceadas)
# ========================================


## EASY (16 frases)

1. [86|dialogue] «Es curioso que nunca me haya preguntado qué hace esa gente ahí —pensó el niño—.

2. [85|narrative] Lo que pasó el día siguiente El día siguiente, viernes, también fue lluvioso.

3. [84|narrative] Harán preguntas sobre mi compromiso con el trabajo que desempeño aquí.

4. [83|narrative] Maria asintió y señaló una gran bolsa que contenía todos sus calcetines, camisetas y calzoncillos.

5. [83|narrative] Pero creo que allá donde fuese siempre echaría de menos a alguien.

6. [82|descriptive] La Abuela parecía mucho más joven que las abuelas de los otros niños.

7. [82|narrative] Y siguió lloviendo durante las clases de la mañana con herr Liszt.

8. [81|dialogue] Bruno pensó que iba a echarse a llorar, aunque no entendía por qué—.

9. [81|narrative] Y quién sabe, quizá estemos más seguros si nosj marchamos.

10. [81|narrative] El Furias les estrechó la mano y Gretel hizo la reverencia que tanto había ensayado.

11. [81|narrative] Sus botas chapoteaban por el barro y Bruno disfrutó más que nunca con el trayecto.

12. [80|poetic] Ahora lo estaba haciendo solo, lo cual comportaba que la operación resultara mucho más arriesgada.

13. [80|dialogue] Y añadió—: Cuando te marches, ya no tendré nadie con quien hablar.

14. [80|narrative] Como no sabía qué significaba aquello, Bruno fingió no haberla oído.

15. [80|narrative] Padre no había viajado desde Berlín en el mismo coche que ellos aquella mañana.

16. [80|narrative] Bruno se quedó mirándolo, preguntándose cuánto tardaría en devolverle su libro.


## MEDIUM (53 frases)

1. [93|narrative] Al niño le pareció terriblemente egoísta que Madre se atribuyera el mérito de algo que no había hecho.

2. [91|descriptive] Pavel sujetó su gorra con ambas manos y asintió, agachando la cabeza más aún de lo que habitualmente la agachaba.

3. [91|descriptive] Se lo enseñó a Madre, que le examinó el cabello separando rápidamente finos mechones; luego hizo lo mismo con Bruno.

4. [91|dialogue] Quería añadir «Yo también te echaré de menos, Shmuel», pero le dio un poco de vergüenza—.

5. [90|dialogue] Bruno se quedó mirándola y se preguntó si aquélla era la cara que ponía él cuando algo lo sorprendía.

6. [88|narrative] Unos días después, un individuo llamado herr Liszt llegó traqueteando por el camino en su carraca y dieron comienzo las lecciones.

7. [87|descriptive] Ver cómo ayudas a tu país a recuperar su orgullo después de las grandes injusticias que se han cometido contra él.

8. [87|descriptive] Miró fijamente al niño y estuvo a punto de preguntarle por qué estaba tan triste, pero temió parecer descortés.

9. [87|narrative] A Bruno le sorprendió tener algo en común con él (y más aún saber que el teniente Kotler había tenido amigos).

10. [86|poetic] Madre seguía abajo, lo cual significaba que Padre estaba allí y que quizá hubiera oído lo que Bruno acababa de decir.

11. [86|descriptive] Entonces Bruno sólo tenía seis años y no estaba muy seguro de a qué se refería Madre.

12. [86|poetic] Pasados unos momentos volvió a mirar a través de la alambrada e hizo a Shmuel otra pregunta que llevaba tiempo intrigándole.

13. [86|dialogue] Pensó en la gente del pijama de rayas y se preguntó qué estaba pasando en Auchviz.

14. [86|narrative] A herr Liszt le gustaban mucho la geografía y la historia, mientras que Bruno prefería la lectura y el dibujo.

15. [85|descriptive] En algunos apenas cabían los puerros, champiñones, nabos y coles de Bruselas; había otros con lechugas, judías verdes, calabacines y chirivías.

16. [85|descriptive] Cuando cerraba los ojos, sólo notaba vacío y frío alrededor, como si se hallara en el lugar más solitario del planeta.

17. [85|narrative] Bruno no sabía qué quería decir ergo, pero no necesitaba saberlo porque se le ocurrió una respuesta muy hábil.

18. [85|narrative] Solían verlo pasear arriba y abajo por la calle, a cualquier hora del día o la noche, discutiendo acaloradamente consigo mismo.

19. [84|poetic] Entonces se fijó en que además era muy guapa, lo cual le produjo una sensación extraña.

20. [84|descriptive] Pero aquel día, como era sábado por la mañana y hacía tanto sol, el teniente Kotler no iba tan arreglado.

21. [83|descriptive] Tenía los ojos llorosos, y el niño sospechaba que si Pavel parpadeaba un poco desencadenaría un torrente.

22. [83|descriptive] Cuando volvió a abrirlos, ya no estaba desfilando, sino más bien siendo arrastrado por toda aquella gente.

23. [83|narrative] Bruno asintió con la cabeza, avergonzándose un poco por no haber demostrado todo el valor que le habría gustado.

24. [83|narrative] Resultaba evidente que a Padre y Madre les gustaba la compañía de aquellos soldados; Bruno se daba cuenta.

25. [83|narrative] Miró a izquierda y derecha para comprobar que no venía nadie y luego se acercó corriendo al banco.

26. [83|narrative] Bruno intentó recordar los países que herr Liszt había mencionado en la última clase de Geografía.

27. [83|narrative] Padre les echó una rápida ojeada y asintió, satisfecho con lo que veía, y entonces abrió la puerta.

28. [83|narrative] Agarró un cuchillo del cajón y cortó unos buenos trozos que luego cubrió de relleno, antes de volverse hacia su amigo.

29. [82|poetic] Estamos aquí, hemos llegado, éste será nuestro hogar en el futuro inmediato y tenemos que poner al mal tiempo buena cara.

30. [82|descriptive] Cuando el niño lo miró, lo único que vio Bruno fueron unos ojos enormes y tristes que le devolvían la mirada.

31. [82|narrative] Se miró la mano y la vio cubierta de arañazos, y en el codo se había hecho un buen rasguño.

32. [82|narrative] Allí la gente es muy simpática, tengo muchos parientes y la comida también es mucho mejor.

33. [82|narrative] De momento sólo puedo leer libros sobre exploradores, pero así, cuando sea explorador, no cometeré los mismos errores que cometieron ellos.

34. [82|narrative] Bruno no quería escuchar a hurtadillas, pero sus padres hablaban en voz tan alta que de todos modos los oyó.

35. [81|descriptive] Sólo quería que Padre entendiera que Auchviz era un sitio espantoso y que ya era hora de marcharse de allí.

36. [81|descriptive] Quizá saltara si la casa se incendiase y él hubiera quedado atrapado dentro, pero aun así le parecía arriesgado.

37. [81|descriptive] El Furias era mucho más bajo que Padre, y Bruno dedujo que no debía de ser tan fuerte como él.

38. [81|dialogue] Un día llegué a casa y mi madre dijo que no podíamos seguir viviendo en nuestra casa...

39. [81|narrative] Bruno la miró y pensó que quizá podría ver por ella sin necesidad de ponerse de puntillas.

40. [81|narrative] No había visto a Gretel por ninguna parte y comenzaba a preocuparle la posibilidad de enloquecer de aburrimiento.

41. [81|narrative] Kotler lo miró fijamente, como si vacilara entre darle una respuesta directa o intentar alguna chanza más.

42. [81|narrative] Tendré que quitarte de la cabeza tus libros de cuentos y enseñarte más cosas sobre tus orígenes.

43. [81|narrative] Anheló estar en su casa, contemplando el espectáculo desde lejos, y no arrastrado por aquella multitud.

44. [80|descriptive] Sólo podía decir que era un hombre con porvenir y que el Furias tenía grandes proyectos para él.

45. [80|dialogue] De hecho, cuando Bruno se entero de la edad que tenía —sesenta y dos años— se llevó una sorpresa.

46. [80|descriptive] Además, La Vie en Rose era una canción que le producía escalofríos y le erizaba el vello de la nuca.

47. [80|descriptive] Sin embargo, en ese preciso instante apareció a lo lejos un puntito, y Bruno entrecerró los ojos para distinguir qué era.

48. [80|dialogue] No quería preguntarle lo que estaba pensando, pero el dolor de estómago lo obligó: —No habrás traído nada para comer, ¿verdad?

49. [80|descriptive] No sabía por qué parecían todos tan asustados (al fin y al cabo, hacer una marcha no era tan terrible).

50. [80|narrative] El supo que hablaba en serio, así que dio media vuelta y se marchó sin decir nada más.

51. [80|narrative] María, con la cabeza aún más agachada de lo habitual, recogió sus abrigos, y entonces se hicieron las presentaciones.

52. [80|narrative] En la encimera había un montón de patatas y zanahorias esperando a que llegara Pavel y las pelara.

53. [80|narrative] La habitación de Gretel había cambiado bastante desde la última vez que Bruno había estado en ella.


## HARD (306 frases)

1. [100|dialogue] Verdaguer, 1 Capellades, Barcelona para Jamie Lynch El descubrimiento de Bruno Una tarde, Bruno llegó de la escuela y se llevó una sorpresa al ver que Maríaa, la criada de la familia —que siempre andaba cabizbaja y no solía levantar la vista de la alfombra—, estaba en su dormitorio sacando todas sus cosas del armario y metiéndolas en cuatro grandes cajas de madera; incluso las pertenencias que él había escondido en el fondo del mueble, que eran suyas y de nadie más.

2. [100|descriptive] Parecían muy bien cuidados por alguien que hubiera comprendido que plantar flores en un sitio como aquél era una buena idea, como lo habría sido, durante una oscura noche de invierno, encender una velita en el rincón de un lúgubre castillo situado en medio de un brumoso páramo.

3. [100|descriptive] Esa última mañana, cuando la residencia había quedado vacía y ya no parecía su hogar, metieron sus últimos objetos personales en las maletas y un coche oficial con banderitas rojas y negras en el capó se detuvo ante su puerta para llevárselos de allí.

4. [100|descriptive] A lo lejos vio la verja que conducía a la carretera que conducía a la estación del ferrocarril que conducía a su antigua casa, pero la idea de volver a Berlín, la idea de escaparse y quedarse solo, era aún más desagradable que la idea de quedarse en Auchviz.

5. [100|poetic] Pavel dio media vuelta y guió a Bruno hasta el almacén; de vez en cuando el niño miraba hacia atrás, a su hermana y al oficial, porque sentía el impulso de volver allí y llevarse a Gretel, pese a que era una pesada y una egocéntrica y la mayor parte del tiempo se mostraba cruel con él.

6. [100|descriptive] Vivían en un pisito cerca de los puestos de fruta y verdura, y en la época en que el niño se mudó a Auchviz, el Abuelo tenía casi setenta y tres años, lo cual, según él, lo convertía en el hombre más anciano del mundo.

7. [100|poetic] Miró hacia la derecha, hasta donde alcanzaba la vista, y vio que la alta alambrada se prolongaba hacia el infinito bajo el sol, y se alegró de que así fuera, porque aquello significaba que él no sabía qué había más allá y podía ponerse a andar para averiguarlo, pues al fin y al cabo en eso consistía explorar.

8. [100|poetic] A Gretel tuvieron que lavarle el pelo con un champú especial que olía muy mal y después la niña se pasó varias horas seguidas en su habitación, llorando a lágrima viva.

9. [100|narrative] Varios días más tarde, después de que los soldados hubieran registrado exhaustivamente los alrededores y recorrido los pueblos cercanos con fotografías del niño, uno de ellos encontró el montón de ropa y las botas que Bruno había dejado junto a la alambrada.

10. [99|dialogue] Autor de otras cuatro novelas —The Thief of Time, The Congress of Rough Riders, Crippen y Next of Kin—, El niño con el pijama de rayas no sólo supuso la consecución de un éxito unánime en todos los países donde se ha publicado (se traducirá a veintidós idiomas), sino que además en Irlanda se mantuvo en el número 1 de la lista de libros más vendidos durante 35 semanas.

11. [99|descriptive] La observó un momento en silencio y pensó que aquella mañana se había aplicado mal el maquillaje, porque tenía los bordes de los párpados más rojos de lo habitual, igual que se le ponían a él cuando se portaba mal, se metía en un aprieto y acababa llorando.

12. [99|descriptive] Aunque, cuando volvió a mirar a la criada, pensó que quizá sí había algo extraño en la atmósfera aquel día, porque ella también tenía los ojos llorosos.

13. [99|descriptive] El teniente Kotler seguía paseándose ufano con sus botas negras como si no hubiera en el mundo nadie más importante que él, y cuando no se encontraba con Padre estaba en el camino de la casa hablando con Gretel mientras ella reía nerviosamente y se enroscaba el cabello con los dedos, o susurrando en alguna habitación con Madre.

14. [98|narrative] Lo miró de arriba abajo como si fuera la primera vez que veía a un niño y no estuviera muy seguro de qué hacer con él: comérselo, hacer caso omiso de él o pegarle una patada y echarlo escaleras abajo.

15. [97|dialogue] Y no interrumpas a tu madre cuando te habla, por favor —añadió, pues pese a que aquélla era una noticia extraña y desagradable, no había ninguna necesidad de que Bruno incumpliera las normas de educación que le habían inculcado.

16. [97|narrative] Yo todavía no sé hablar francés ni italiano, pero ella dice que algún día me enseñará inglés porque quizá me convenga saberlo.

17. [97|narrative] Unos meses más tarde, llegaron otros soldados a Auchviz y ordenaron a Padre que los acompañara, y él fue sin protestar y se alegró de hacerlo porque ya no le importaba lo que le hicieran.

18. [96|dialogue] Señaló el amplio sillón que había enfrente de su escritorio y Bruno se sentó en él —sus pies no llegaban al suelo—, mientras Padre volvía a su asiento detrás del escritorio y lo miraba fijamente.

19. [96|dialogue] «Seguramente podría saltar desde la ventana y no me haría mucho daño», caviló, aunque no se le ocurría ningún motivo para hacer semejante idiotez.

20. [96|descriptive] Intentó ruborizarse, pero aquello era más difícil, así que pensó en cosas vergonzosas que le habían pasado a lo largo de los años con la esperanza de conseguirlo.

21. [96|poetic] Una tarde, cerca de un mes atrás, por el tiempo en que el teniente Kotler se marchó de Auchviz, Gretel había decidido que ya no le gustaban las muñecas y las había tirado.

22. [96|poetic] A Bruno también le pusieron aquel champú, pero luego Padre decidió que lo mejor era empezar desde cero, así que buscó una navaja de afeitar y le rasuró la cabeza; Bruno no pudo contener las lágrimas.

23. [96|narrative] Gretel también regresó a Berlín, y pasaba mucho rato a solas en su habitación, llorando, pero no porque había tirado todas sus muñecas y dejado todos sus mapas en Auchviz, sino porque echaba mucho de menos a Bruno.

24. [95|dialogue] Queda rigurosamente prohibida, sin la autorización escrita de los titulares del "Copyright", bajo las sanciones establecidas en las leyes, la reproducción parcial o total de esta obra por cualquier medio o procedimiento, incluidos la reprografía y el tratamiento informático, así como la distribución de ejemplares mediante alquiler o préstamo públicos.

25. [95|descriptive] Subió despacio la escalera, sujetándose a la barandilla con una mano mientras se preguntaba si en la casa nueva de aquel sitio nuevo donde estaba el trabajo nuevo de su padre habría una barandilla tan fabulosa como aquélla para deslizarse.

26. [95|descriptive] Él estaba tan tranquilo, jugando en su casa, con sus tres mejores amigos para toda la vida, deslizándose por la barandilla de la escalera, intentando ponerse de puntillas para contemplar todo Berlín, y de pronto se encontraba atrapado allí, en aquella casa fría y horrible con tres criadas que hablaban en susurros y un camarero de aspecto desdichado y malhumorado, donde parecía que nadie podría estar alegre nunca.

27. [95|dialogue] Acto seguido rodeó el escritorio y le estrechó la mano con firmeza, porque Padre no era de la clase de personas que dan abrazos, a diferencia de Madre y la Abuela, que los daban casi con demasiada frecuencia, acompañándolos de húmedos besos—.

28. [95|descriptive] El árbol parecía tan viejo que Bruno estimó que lo habían plantado a finales de la Edad Media, una época que había estudiado recientemente y que encontraba fascinante, sobre todo por los caballeros que vivían grandes aventuras en tierras lejanas y hacían interesantes descubrimientos.

29. [95|descriptive] Si en Auchviz eso era normal, más valía no llevarle la contraria a nadie; de hecho, lo mejor que podía hacer era mantener la boca cerrada y no causar ningún problema.

30. [95|narrative] Así pues, se sentó en el suelo, en su lado de la alambrada, cruzando las piernas igual que el otro niño, y lamentó no haber llevado un poco de chocolate o quizá una pasta que podrían haber compartido.

31. [95|narrative] Enviaron un aviso, pues había que limpiar la casa a fondo, barnizar la barandilla, planchar las sábanas y hacer las camas, y Padre anunció que Madre, Gretel y Bruno regresarían a Berlín la semana siguiente.

32. [95|narrative] Bruno miró a izquierda y derecha una vez más, pero seguía sin haber nadie por allí, así que inició la difícil tarea de quitarse los pantalones mientras mantenía el equilibrio con una sola pierna.

33. [94|descriptive] Sin embargo, la casa nueva sólo tenía dos plantas: un piso superior donde estaban los tres dormitorios y el único cuarto de baño, y una planta baja donde se encontraban la cocina, el comedor y el nuevo despacho de Padre (sujeto, presumiblemente, a las mismas restricciones que el antiguo).

34. [94|dialogue] También había un anciano que, según dijeron a Bruno, se encargaría de preparar las hortalizas todos los días y servirles la comida en el comedor, y que parecía muy desdichado y un poco malhumorado.) —A nosotros no nos corresponde pensar —dijo Madre mientras abría una caja que contenía un juego de sesenta y cuatro vasitos que los abuelos le habían regalado cuando se casó con Padre—.

35. [94|poetic] Hacía una tarde radiante y soleada, y el sol salió por detrás de una nube en el preciso instante en que Gretel se asomó a la ventana; pero un momento más tarde sus ojos se adaptaron a la luz, el sol se ocultó de nuevo y la niña pudo ver exactamente a qué se refería Bruno.

36. [94|descriptive] Se estaba acercando el cumpleaños de Padre y, aunque él decía que no quería celebrarlo, Madre organizó una fiesta para todos los oficiales que servían en Auchviz y había mucho ajetreo para prepararla.

37. [94|descriptive] Después, cuando llegara a casa, no iba a ser fácil justificar por qué iba tan sucio; pero aquello podría atribuirse a que era el típico niño, como siempre afirmaba Madre; no creía que tuviera muchos problemas.

38. [93|descriptive] Tenía doce años y se la consideraba una de las niñas más inteligentes de su clase, así que apretó los labios, entornó los ojos y se exprimió el cerebro para comprender qué era aquello.

